2018-06-05 14:42:23,663 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.greatme.chris:chris.greateme:0.0.1-SNAPSHOT @ E:\webapps\repository\chris.greateme\pom.xml.
2018-06-05 15:13:00,938 [Worker-36] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.greatme.chris:chris.information:0.0.1-SNAPSHOT @ E:\webapps\repository\chris.greateme\chris.information\pom.xml.
2018-06-05 15:13:33,739 [Worker-36] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chris.information/src/main/java
2018-06-05 15:13:33,741 [Worker-36] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chris.information/src/main/resources
2018-06-05 15:13:33,742 [Worker-36] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /chris.information/src/test/java
2018-06-05 15:13:33,743 [Worker-36] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /chris.information/src/test/resources
2018-06-05 15:13:34,798 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-05 15:13:34,807 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-05 15:13:34,811 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-05 15:13:34,817 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-05 15:13:35,982 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.greatme.chris:chris.greateme:0.0.1-SNAPSHOT @ E:\webapps\repository\chris.greateme\pom.xml.
2018-06-05 15:13:37,073 [Worker-3] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.greatme.chris:chris.information:0.0.1-SNAPSHOT @ E:\webapps\repository\chris.greateme\chris.information\pom.xml.
2018-06-05 15:13:37,576 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-05 15:13:37,584 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-06-05 15:13:37,587 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-05 15:13:37,598 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
